"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 10 16:53:32 UTC 2021","Fri Sep 10 16:53:33 UTC 2021","1000","","ubuntu1804-container","","","","QA 574","PCP QA Test No. 574

Tests out the api (uses torture_api) in archive mode.

Main motivation is to test the PMNS in archives for distrib-PMNS.



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 17:00:54 UTC 2021","Fri Sep 10 17:00:55 UTC 2021","1000","","fedora-rawhide-container","","","","QA 407","PCP QA Test No. 407

Derived metrics and PM_TYPE_EVENT



Copyright (c) 2010 Ken McDonell.  All Rights Reserved.



"
"passed","Fri Sep 10 16:55:29 UTC 2021","Fri Sep 10 16:55:36 UTC 2021","7000","","ubuntu1604-container","","","","QA 707","PCP QA Test No. 707

Exercise python PMAPI layer - basic archive tests



Copyright (c) 2012-2014 Red Hat.



"
"passed","Fri Sep 10 17:01:41 UTC 2021","Fri Sep 10 17:01:41 UTC 2021","0","","ubuntu2004-container","","","","QA 1368","PCP QA Test No. 1368

Exercise fetch protocol support for context label changes.



Copyright (c) 2017 Red Hat.



"
"passed","Fri Sep 10 16:53:41 UTC 2021","Fri Sep 10 16:53:41 UTC 2021","0","","ubuntu1804-i386-container","","","","QA 001","PCP QA Test No. 001

exercise the PDU encode/decode ... no PMCD involvement



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 17:03:58 UTC 2021","Fri Sep 10 17:04:18 UTC 2021","20000","","fedora33-container","","","","QA 178","PCP QA Test No. 178

pmlogextract exerciser



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 16:59:47 UTC 2021","Fri Sep 10 16:59:54 UTC 2021","7000","","debian11-container","","","","QA 702","PCP QA Test No. 702

Exercise python PMAPI layer - basic live host tests



Copyright (c) 2012-2014 Red Hat.



"
"passed","Fri Sep 10 16:55:44 UTC 2021","Fri Sep 10 16:55:44 UTC 2021","0","","centos7-container","","","","QA 569","PCP QA Test No. 569

exercise pmprobe, and pv 679693 in particular



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 17:01:47 UTC 2021","Fri Sep 10 17:01:47 UTC 2021","0","","ubuntu2004-btf","","","","QA 1315","PCP QA Test No. 1315

Check for absence of <mark> records in archives created in tmparch



Copyright (c) 2021 Ken McDonell.  All Rights Reserved.



"
"passed","Fri Sep 10 17:06:13 UTC 2021","Fri Sep 10 17:06:13 UTC 2021","0","","fedora34-container","","","","QA 085","PCP QA Test No. 085

pmlogger specs with internal instance identifiers



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 16:51:53 UTC 2021","Fri Sep 10 16:51:53 UTC 2021","0","","ubuntu1804-container","","","","QA 127","PCP QA Test No. 127

pmlogreduce basic metadata sanity



Copyright (c) 2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 17:04:21 UTC 2021","Fri Sep 10 17:04:21 UTC 2021","0","","fedora33-container","","","","QA 207","PCP QA Test No. 207

Simple PMNS exerciser after dynamic PMNS changes



Copyright (c) 2009 Ken McDonell.  All Rights Reserved.



"
"passed","Fri Sep 10 16:55:36 UTC 2021","Fri Sep 10 16:55:36 UTC 2021","0","","ubuntu1804-i386-container","","","","QA 404","PCP QA Test No. 404

exercise pmUnpackEventRecords() and pmFreeEventResult()



Copyright (c) 2010 Ken McDonell.  All Rights Reserved.



"
"passed","Fri Sep 10 16:59:11 UTC 2021","Fri Sep 10 16:59:11 UTC 2021","0","","ubuntu2004-btf","","","","QA 027","PCP QA Test No. 027

exercise pmConvScale and pmUnitsStr



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 17:02:39 UTC 2021","Fri Sep 10 17:02:39 UTC 2021","0","","debian10-container","","","","QA 646","PCP QA Test No. 646

Testing of libpcp_mmv functionality (ondisk formats)



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.

Copyright (c) 2009-2010 Aconex.  All Rights Reserved.

Copyright (c) 2016,2018 Red Hat.



"
"passed","Fri Sep 10 17:04:23 UTC 2021","Fri Sep 10 17:04:24 UTC 2021","1000","","fedora33-container","","","","QA 232","PCP QA Test No. 232

exercise instance API functions for PM_CONTEXT_LOCAL



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 16:58:45 UTC 2021","Fri Sep 10 16:58:45 UTC 2021","0","","fedora-rawhide-container","","","","QA 004","PCP QA Test No. 004

exercise contexts for the live data from the pmcd



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 17:01:59 UTC 2021","Fri Sep 10 17:02:00 UTC 2021","1000","","debian10-container","","","","QA 249","PCP QA Test No. 249



Derived metrics - exercise pmFetch processing



Copyright (c) 2009 Ken McDonell.  All Rights Reserved.



"
"passed","Fri Sep 10 17:04:55 UTC 2021","Fri Sep 10 17:04:57 UTC 2021","2000","","fedora33-container","","","","QA 359","PCP QA Test No. 359

Simple sanity check that we can get through validation of all

of the metrics without any surprises



Copyright (c) 2010 Ken McDonell.  All Rights Reserved.



"
"passed","Fri Sep 10 17:01:07 UTC 2021","Fri Sep 10 17:01:08 UTC 2021","1000","","fedora-rawhide-container","","","","QA 646","PCP QA Test No. 646

Testing of libpcp_mmv functionality (ondisk formats)



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.

Copyright (c) 2009-2010 Aconex.  All Rights Reserved.

Copyright (c) 2016,2018 Red Hat.



"
"passed","Fri Sep 10 17:05:14 UTC 2021","Fri Sep 10 17:05:14 UTC 2021","0","","fedora33-container","","","","QA 574","PCP QA Test No. 574

Tests out the api (uses torture_api) in archive mode.

Main motivation is to test the PMNS in archives for distrib-PMNS.



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 17:05:13 UTC 2021","Fri Sep 10 17:05:13 UTC 2021","0","","fedora33-container","","","","QA 568","PCP QA Test No. 568

Exercise generic PMAPI labelset lookup.



Copyright (c) 2017 Red Hat.



"
"passed","Fri Sep 10 17:01:02 UTC 2021","Fri Sep 10 17:01:03 UTC 2021","1000","","fedora-rawhide-container","","","","QA 548","PCP QA Test No. 548

nomatch_inst for pmie



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 16:58:16 UTC 2021","Fri Sep 10 16:58:16 UTC 2021","0","","fedora35-container","","","","QA 007","PCP QA Test No. 007

exercise optFetch routines



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 17:01:24 UTC 2021","Fri Sep 10 17:01:30 UTC 2021","6000","","ubuntu2004-container","","","","QA 1098","PCP QA Test No. 1098

Exercise a couple of python PMDA module features.



Copyright (c) 2017 Red Hat.



"
